code,csname,extname,cname,index_code,index_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
159969,深100P,深100ETF银华,银华深证100交易型开放式指数证券投资基金,399330.SZ,深证100指数,深证100,深圳证券信息有限公司,20060124,20021231,1000.0,半年,2019-06-28,2019-08-28,L,SZ,银华基金,国泰海通证券股份有限公司,0.2,纯境内
159310,天弘中证芯片产业ETF,芯片ETF天弘,天弘中证芯片产业交易型开放式指数证券投资基金,H30007.CSI,中证芯片产业指数,芯片产业,中证指数有限公司,20121220,20151231,1000.0,半年,2024-04-18,2024-04-30,L,SZ,天弘基金,光大证券股份有限公司,0.5,纯境内
516750,富国中证全指建筑材料ETF,建材ETF,富国中证全指建筑材料交易型开放式指数证券投资基金,931009.CSI,中证全指建筑材料指数,建筑材料,中证指数有限公司,20130715,20041231,1000.0,半年,2021-10-28,2021-11-05,L,SH,富国基金,上海浦东发展银行股份有限公司,0.5,纯境内
159782,双创50,双创50ETF,银华中证科创创业50交易型开放式指数证券投资基金,931643.CSI,中证科创创业50指数,科创创业50,中证指数有限公司,20210601,20191231,1000.0,三个月,2021-06-29,2021-07-07,L,SZ,银华基金,招商银行股份有限公司,0.5,纯境内
159956,建信创业板ETF,创业板ETF建信,建信创业板交易型开放式指数证券投资基金,399006.SZ,创业板指数,创业板指,深圳证券信息有限公司,20100601,20100531,1000.0,半年,2018-02-06,2018-03-07,L,SZ,建信基金,中国银河证券股份有限公司,0.5,纯境内
510590,平安中证500ETF,中证500ETF平安,平安中证500交易型开放式指数证券投资基金,000905.SH,中证小盘500指数,中证500,中证指数有限公司,20070115,20041231,1000.0,半年,2018-03-23,2018-05-04,L,SH,平安基金,平安银行股份有限公司,0.5,纯境内
159566,易方达国证新能源电池ETF,储能电池ETF,易方达国证新能源电池交易型开放式指数证券投资基金,980027.SZ,国证新能源电池指数,新能源电池,深圳证券信息有限公司,20150216,20141231,1000.0,半年,2024-01-31,2024-02-08,L,SZ,易方达基金,国投证券股份有限公司,0.5,纯境内
513130,恒生科技,恒生科技ETF,华泰柏瑞南方东英恒生科技指数交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,恒生科技指数,恒生指数有限公司,20200727,20141231,3000.0,三个月,2021-05-24,2021-06-01,L,SH,华泰柏瑞基金,中国建设银行股份有限公司,0.2,QDII
159859,天弘国证生物医药ETF,生物医药ETF,天弘国证生物医药交易型开放式指数证券投资基金,399441.SZ,国证生物医药指数,生物医药,深圳证券信息有限公司,20150120,20091231,1000.0,半年,2021-06-24,2021-07-07,L,SZ,天弘基金,中信建投证券股份有限公司,0.5,纯境内
159375,国泰创业板50ETF,创业板50ETF国泰,国泰创业板50交易型开放式指数证券投资基金,399673.SZ,创业板50指数,创业板50,深圳证券信息有限公司,20140618,20100531,1000.0,半年,2024-12-30,2025-01-10,L,SZ,国泰基金,兴业银行股份有限公司,0.15,纯境内
563650,兴业中证A500ETF,中证A500龙头ETF,兴业中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,中证A500,中证指数有限公司,20240923,20041231,1000.0,半年,2025-03-25,2025-04-03,L,SH,兴业基金,中信证券股份有限公司,0.15,纯境内
562810,嘉实上证综合增强策略ETF,上证指数增强ETF,嘉实上证综合增强策略交易型开放式指数证券投资基金,000001.SH,上证综合指数,上证指数,中证指数有限公司,19910715,19901219,100.0,自动调整,2025-03-05,2025-03-13,L,SH,嘉实基金,广发证券股份有限公司,0.5,纯境内
159546,国泰中证全指集成电路ETF,集成电路ETF,国泰中证全指集成电路交易型开放式指数证券投资基金,932087.CSI,中证全指集成电路指数,集成电路,中证指数有限公司,20230329,20211231,1000.0,半年,2023-10-11,2023-10-20,L,SZ,国泰基金,中信建投证券股份有限公司,0.5,纯境内
560510,中证A500,中证A500ETF,泰康中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,中证A500,中证指数有限公司,20240923,20041231,1000.0,半年,2024-09-27,2024-10-15,L,SH,泰康基金,招商银行股份有限公司,0.15,纯境内
515320,华安中证电子50ETF,电子50ETF,华安中证电子50交易型开放式指数证券投资基金,931461.CSI,中证电子50指数,电子50,中证指数有限公司,20090722,20081231,1000.0,半年,2020-11-25,2021-01-08,L,SH,华安基金,中国银行股份有限公司,0.5,纯境内
516460,鹏华中证800自由现金流ETF,现金流ETF800,鹏华中证800自由现金流交易型开放式指数证券投资基金,932368.CSI,中证800自由现金流指数,800现金流,中证指数有限公司,20241211,20131231,1000.0,三个月,2025-04-17,2025-04-28,L,SH,鹏华基金,交通银行股份有限公司,0.5,纯境内
520980,汇添富恒生港股通中国科技ETF,港股通科技30ETF,汇添富恒生港股通中国科技交易型开放式指数证券投资基金,HSSCT.HI,恒生港股通中国科技指数,港股通中国科技指数,恒生指数有限公司,20200217,20141231,3000.0,半年,2025-06-18,2025-07-02,L,SH,汇添富基金,兴业银行股份有限公司,0.5,纯境内
159129,嘉实中证细分化工产业主题ETF,化工ETF嘉实,嘉实中证细分化工产业主题交易型开放式指数证券投资基金,000813.CSI,中证细分化工产业主题指数,细分化工,中证指数有限公司,20120411,20041231,1000.0,半年,2025-11-06,2025-11-14,L,SZ,嘉实基金,交通银行股份有限公司,0.15,纯境内
159527,广发中证云计算与大数据ETF,云计算ETF广发,广发中证云计算与大数据主题交易型开放式指数证券投资基金,930851.CSI,中证云计算与大数据主题指数,云计算,中证指数有限公司,20160720,20120629,1000.0,半年,2024-01-22,2024-02-01,L,SZ,广发基金,中国建设银行股份有限公司,0.5,纯境内
159649,华安中债1-5年国开行债券ETF,国开债ETF,华安中债1-5年国开行债券交易型开放式指数证券投资基金,CBA08303.OTH,中债-1-5年国开行债券指数(全价),中债-1-5年国开行债券指数(全价),中央国债登记结算有限责任公司,20190128,20111231,100.0,每日,2022-08-08,2022-10-24,L,SZ,华安基金,上海浦东发展银行股份有限公司,0.15,纯境内
159549,天弘中证红利低波动100ETF,红利低波ETF天弘,天弘中证红利低波动100交易型开放式指数证券投资基金,930955.CSI,中证红利低波动100指数,红利低波100,中证指数有限公司,20170526,20051230,1000.0,三个月,2023-11-23,2023-12-11,L,SZ,天弘基金,国泰海通证券股份有限公司,0.5,纯境内
159609,浦银安盛中证光伏产业ETF,光伏龙头ETF,浦银安盛中证光伏产业交易型开放式指数证券投资基金,931151.CSI,中证光伏产业指数,光伏产业,中证指数有限公司,20190422,20121231,1000.0,半年,2022-06-16,2022-07-08,L,SZ,浦银安盛基金,国泰海通证券股份有限公司,0.5,纯境内
560780,广发中证半导体材料设备ETF,芯片设备ETF,广发中证半导体材料设备主题交易型开放式指数证券投资基金,931743.CSI,中证半导体材料设备主题指数,半导体材料设备,中证指数有限公司,20121221,20181228,1000.0,半年,2023-12-01,2023-12-12,L,SH,广发基金,招商银行股份有限公司,0.5,纯境内
159131,华宝中证港股通信息技术综合ETF,港股信息技术ETF,华宝中证港股通信息技术综合交易型开放式指数证券投资基金,930967.CSI,中证港股通信息技术综合指数,港股通信息C,中证指数有限公司,20170623,20141114,3000.0,半年,2025-11-05,2025-11-13,L,SZ,华宝基金,江苏银行股份有限公司,0.5,纯境内
159723,汇添富中证沪港深科技龙头ETF,科技龙头ETF,汇添富中证沪港深科技龙头交易型开放式指数证券投资基金,931524.CSI,中证沪港深科技龙头指数,SHS科技龙头,中证指数有限公司,20200716,20141114,1000.0,半年,2021-09-27,2021-10-15,L,SZ,汇添富基金,中国工商银行股份有限公司,0.15,纯境内
159515,鹏扬中证国有企业红利ETF,国企红利ETF,鹏扬中证国有企业红利交易型开放式指数证券投资基金,000824.CSI,中证国有企业红利指数,国企红利,中证指数有限公司,20120720,20090630,1000.0,半年,2023-08-25,2023-09-06,L,SZ,鹏扬基金,交通银行股份有限公司,0.5,纯境内
516360,华宝新材料ETF,新材料ETF,华宝中证新材料主题交易型开放式指数证券投资基金,H30597.CSI,中证新材料主题指数,新材料,中证指数有限公司,20150213,20081231,1000.0,半年,2021-04-30,2021-05-13,L,SH,华宝基金,中国工商银行股份有限公司,0.5,纯境内
588700,嘉实上证科创板生物医药ETF,科创医药ETF嘉实,嘉实上证科创板生物医药交易型开放式指数证券投资基金,000683.SH,上证科创板生物医药指数,科创生物,中证指数有限公司,20220509,20191231,1000.0,三个月,2023-12-27,2024-01-05,L,SH,嘉实基金,国泰海通证券股份有限公司,0.5,纯境内
